index	offset	hex	dec
0	0x0000AE55	0x003B	59
1	0x0000AE56	0x003C	60
2	0x0000AE57	0x003C	60
3	0x0000AE58	0x003C	60
4	0x0000AE59	0x003C	60
5	0x0000AE5A	0x003C	60
6	0x0000AE5B	0x003C	60
7	0x0000AE5C	0x003C	60
8	0x0000AE5D	0x003C	60
9	0x0000AE5E	0x003C	60
10	0x0000AE5F	0x003C	60
11	0x0000AE60	0x003C	60
12	0x0000AE61	0x003C	60
13	0x0000AE62	0x003C	60
14	0x0000AE63	0x003C	60
15	0x0000AE64	0x003C	60
16	0x0000AE65	0x003C	60
17	0x0000AE66	0x003C	60
18	0x0000AE67	0x003C	60
19	0x0000AE68	0x003C	60
20	0x0000AE69	0x003C	60
21	0x0000AE6A	0x003C	60
22	0x0000AE6B	0x003B	59
23	0x0000AE6C	0x003B	59
24	0x0000AE6D	0x003B	59
25	0x0000AE6E	0x003B	59
26	0x0000AE6F	0x003A	58
27	0x0000AE70	0x003A	58
28	0x0000AE71	0x003A	58
29	0x0000AE72	0x003A	58
30	0x0000AE73	0x0039	57
31	0x0000AE74	0x0039	57
32	0x0000AE75	0x0039	57
33	0x0000AE76	0x0039	57
34	0x0000AE77	0x0038	56
35	0x0000AE78	0x0038	56
36	0x0000AE79	0x0038	56
37	0x0000AE7A	0x0038	56
38	0x0000AE7B	0x0037	55
39	0x0000AE7C	0x0037	55
40	0x0000AE7D	0x0037	55
41	0x0000AE7E	0x0037	55
42	0x0000AE7F	0x0036	54
43	0x0000AE80	0x0036	54
44	0x0000AE81	0x0036	54
45	0x0000AE82	0x0036	54
46	0x0000AE83	0x0036	54
47	0x0000AE84	0x0037	55
48	0x0000AE85	0x0037	55
49	0x0000AE86	0x0038	56
50	0x0000AE87	0x0039	57
51	0x0000AE88	0x003A	58
52	0x0000AE89	0x003A	58
53	0x0000AE8A	0x003B	59
54	0x0000AE8B	0x003C	60
55	0x0000AE8C	0x003D	61
56	0x0000AE8D	0x003D	61
57	0x0000AE8E	0x003E	62
58	0x0000AE8F	0x003F	63
59	0x0000AE90	0x0040	64
60	0x0000AE91	0x0041	65
61	0x0000AE92	0x0042	66
62	0x0000AE93	0x0043	67
63	0x0000AE94	0x0044	68
64	0x0000AE95	0x0045	69
65	0x0000AE96	0x0046	70
66	0x0000AE97	0x0047	71
67	0x0000AE98	0x0048	72
68	0x0000AE99	0x0049	73
69	0x0000AE9A	0x004A	74
70	0x0000AE9B	0x004B	75
71	0x0000AE9C	0x004B	75
72	0x0000AE9D	0x004B	75
73	0x0000AE9E	0x004B	75
74	0x0000AE9F	0x004B	75
75	0x0000AEA0	0x004B	75
76	0x0000AEA1	0x004B	75
77	0x0000AEA2	0x004B	75
78	0x0000AEA3	0x004A	74
79	0x0000AEA4	0x004A	74
80	0x0000AEA5	0x004A	74
81	0x0000AEA6	0x004A	74
82	0x0000AEA7	0x0049	73
83	0x0000AEA8	0x0049	73
84	0x0000AEA9	0x0049	73
85	0x0000AEAA	0x0049	73
86	0x0000AEAB	0x0048	72
87	0x0000AEAC	0x0048	72
88	0x0000AEAD	0x0048	72
89	0x0000AEAE	0x0047	71
90	0x0000AEAF	0x0047	71
91	0x0000AEB0	0x0046	70
92	0x0000AEB1	0x0046	70
93	0x0000AEB2	0x0045	69
94	0x0000AEB3	0x0044	68
95	0x0000AEB4	0x0043	67
96	0x0000AEB5	0x0043	67
97	0x0000AEB6	0x0042	66
98	0x0000AEB7	0x0041	65
99	0x0000AEB8	0x0040	64
